# Process Names: python3 .*mri.*,,,,,
# CPU Cores: 12,,,,,
# Total System RAM (MB): 64026,,,,,
# GPU Model: NVIDIA GeForce RTX 2080 SUPER,,,,,
# Total GPU Memory (MiB): 8192,,,,,
Time,Process_Name,PID,CPU_Usage(%),Memory_Usage(%),GPU_Mem_Used_by_PID(MiB)
13:27:59,.*mri.*,2847990,0.5,0,0
13:27:59,.*mri.*,3184955,0,0,0
13:27:59,.*mri.*,3184963,0,0,0
13:27:59,.*mri.*,3184964,384,1.4,0
13:28:00,python3,836,0,0,0
13:28:00,python3,981,0,0,0
13:28:00,python3,2847990,0.5,0,0
13:28:00,.*mri.*,2847990,0.5,0,0
13:28:00,.*mri.*,3184955,0,0,0
13:28:00,.*mri.*,3184963,0,0,0
13:28:00,.*mri.*,3184964,390,1.4,0
13:28:01,python3,836,0,0,0
13:28:01,python3,981,0,0,0
13:28:01,python3,2847990,0.5,0,0
13:28:01,.*mri.*,2847990,0.5,0,0
13:28:01,.*mri.*,3184955,0,0,0
13:28:01,.*mri.*,3184963,0,0,0
13:28:01,.*mri.*,3184964,394,1.4,0
13:28:03,python3,836,0,0,0
13:28:03,python3,981,0,0,0
13:28:03,python3,2847990,0.5,0,0
13:28:03,.*mri.*,2847990,0.5,0,0
13:28:03,.*mri.*,3184955,0,0,0
13:28:03,.*mri.*,3184963,0,0,0
13:28:03,.*mri.*,3184964,386,1.4,0
13:28:04,python3,836,0,0,0
13:28:04,python3,981,0,0,0
13:28:04,python3,2847990,0.5,0,0
13:28:04,.*mri.*,2847990,0.5,0,0
13:28:04,.*mri.*,3184955,0,0,0
13:28:04,.*mri.*,3184963,0,0,0
13:28:04,.*mri.*,3184964,390,1.4,0
13:28:05,python3,836,0,0,0
13:28:05,python3,981,0,0,0
13:28:05,python3,2847990,0.5,0,0
13:28:05,.*mri.*,2847990,0.5,0,0
13:28:05,.*mri.*,3184955,0,0,0
13:28:05,.*mri.*,3184963,0,0,0
13:28:05,.*mri.*,3184964,395,1.4,0
13:28:07,python3,836,0,0,0
13:28:07,python3,981,0,0,0
13:28:07,python3,2847990,0.5,0,0
13:28:07,.*mri.*,2847990,0.5,0,0
13:28:07,.*mri.*,3184955,0,0,0
13:28:07,.*mri.*,3184963,0,0,0
13:28:07,.*mri.*,3184964,388,1.4,0
13:28:08,python3,836,0,0,0
13:28:08,python3,981,0,0,0
13:28:08,python3,2847990,0.5,0,0
13:28:08,.*mri.*,2847990,0.5,0,0
13:28:08,.*mri.*,3184955,0,0,0
13:28:08,.*mri.*,3184963,0,0,0
13:28:08,.*mri.*,3184964,392,1.4,0
13:28:09,python3,836,0,0,0
13:28:09,python3,981,0,0,0
13:28:09,python3,2847990,0.5,0,0
13:28:09,.*mri.*,2847990,0.5,0,0
13:28:09,.*mri.*,3184955,0,0,0
13:28:09,.*mri.*,3184963,0,0,0
13:28:09,.*mri.*,3184964,395,1.4,0
13:28:11,python3,836,0,0,0
13:28:11,python3,981,0,0,0
13:28:11,python3,2847990,0.5,0,0
13:28:11,.*mri.*,2847990,0.5,0,0
13:28:11,.*mri.*,3184955,0,0,0
13:28:11,.*mri.*,3184963,0,0,0
13:28:11,.*mri.*,3184964,388,1.4,0
13:28:12,python3,836,0,0,0
13:28:12,python3,981,0,0,0
13:28:12,python3,2847990,0.5,0,0
13:28:12,.*mri.*,2847990,0.5,0,0
13:28:12,.*mri.*,3184955,0,0,0
13:28:12,.*mri.*,3184963,0,0,0
13:28:12,.*mri.*,3184964,388,1.4,0
13:28:13,python3,836,0,0,0
13:28:13,python3,981,0,0,0
13:28:13,python3,2847990,0.5,0,0
13:28:13,.*mri.*,2847990,0.5,0,0
13:28:13,.*mri.*,3184955,0,0,0
13:28:13,.*mri.*,3184963,0,0,0
13:28:13,.*mri.*,3184964,388,1.4,0
13:28:15,python3,836,0,0,0
13:28:15,python3,981,0,0,0
13:28:15,python3,2847990,0.5,0,0
13:28:15,.*mri.*,2847990,0.5,0,0
13:28:15,.*mri.*,3188322,0,0,0
13:28:15,.*mri.*,3188335,0,0,0
13:28:15,.*mri.*,3188336,103,0.2,0
13:28:16,python3,836,0,0,0
13:28:16,python3,981,0,0,0
13:28:16,python3,2847990,0.5,0,0
13:28:16,.*mri.*,2847990,0.5,0,0
13:28:16,.*mri.*,3188322,0,0,0
13:28:16,.*mri.*,3188335,0,0,0
13:28:16,.*mri.*,3188336,183,0.8,0
13:28:18,python3,836,0,0,0
13:28:18,python3,981,0,0,0
13:28:18,python3,2847990,0.5,0,0
13:28:18,.*mri.*,2847990,0.5,0,0
13:28:18,.*mri.*,3188322,0,0,0
13:28:18,.*mri.*,3188335,0,0,0
13:28:18,.*mri.*,3188336,177,1.4,0
13:28:19,python3,836,0,0,0
13:28:19,python3,981,0,0,0
13:28:19,python3,2847990,0.5,0,0
13:28:19,.*mri.*,2847990,0.5,0,0
13:28:19,.*mri.*,3188322,0,0,0
13:28:19,.*mri.*,3188335,0,0,0
13:28:19,.*mri.*,3188336,310,1.4,0
13:28:20,python3,836,0,0,0
13:28:20,python3,981,0,0,0
13:28:20,python3,2847990,0.5,0,0
13:28:20,.*mri.*,2847990,0.5,0,0
13:28:20,.*mri.*,3188322,0,0,0
13:28:20,.*mri.*,3188335,0,0,0
13:28:20,.*mri.*,3188336,370,1.4,0
13:28:22,python3,836,0,0,0
13:28:22,python3,981,0,0,0
13:28:22,python3,2847990,0.5,0,0
13:28:22,.*mri.*,2847990,0.5,0,0
13:28:22,.*mri.*,3188322,0,0,0
13:28:22,.*mri.*,3188335,0,0,0
13:28:22,.*mri.*,3188336,342,1.4,0
13:28:23,python3,836,0,0,0
13:28:23,python3,981,0,0,0
13:28:23,python3,2847990,0.5,0,0
13:28:23,.*mri.*,2847990,0.5,0,0
13:28:23,.*mri.*,3188322,0,0,0
13:28:23,.*mri.*,3188335,0,0,0
13:28:23,.*mri.*,3188336,366,1.4,0
13:28:24,python3,836,0,0,0
13:28:24,python3,981,0,0,0
13:28:24,python3,2847990,0.5,0,0
13:28:24,.*mri.*,2847990,0.5,0,0
13:28:24,.*mri.*,3188322,0,0,0
13:28:24,.*mri.*,3188335,0,0,0
13:28:24,.*mri.*,3188336,382,1.4,0
13:28:26,python3,836,0,0,0
13:28:26,python3,981,0,0,0
13:28:26,python3,2847990,0.5,0,0
13:28:26,.*mri.*,2847990,0.5,0,0
13:28:26,.*mri.*,3188322,0,0,0
13:28:26,.*mri.*,3188335,0,0,0
13:28:26,.*mri.*,3188336,362,1.4,0
13:28:27,python3,836,0,0,0
13:28:27,python3,981,0,0,0
13:28:27,python3,2847990,0.5,0,0
13:28:27,.*mri.*,2847990,0.5,0,0
13:28:27,.*mri.*,3188322,0,0,0
13:28:27,.*mri.*,3188335,0,0,0
13:28:27,.*mri.*,3188336,374,1.4,0
13:28:28,python3,836,0,0,0
13:28:28,python3,981,0,0,0
13:28:28,python3,2847990,0.5,0,0
13:28:28,.*mri.*,2847990,0.5,0,0
13:28:28,.*mri.*,3188322,0,0,0
13:28:28,.*mri.*,3188335,0,0,0
13:28:28,.*mri.*,3188336,387,1.4,0
13:28:30,python3,836,0,0,0
13:28:30,python3,981,0,0,0
13:28:30,python3,2847990,0.5,0,0
13:28:30,.*mri.*,2847990,0.5,0,0
13:28:30,.*mri.*,3188322,0,0,0
13:28:30,.*mri.*,3188335,0,0,0
13:28:30,.*mri.*,3188336,371,1.4,0
13:28:31,python3,836,0,0,0
13:28:31,python3,981,0,0,0
13:28:31,python3,2847990,0.5,0,0
13:28:31,.*mri.*,2847990,0.5,0,0
13:28:31,.*mri.*,3188322,0,0,0
13:28:31,.*mri.*,3188335,0,0,0
13:28:31,.*mri.*,3188336,379,1.4,0
13:28:32,python3,836,0,0,0
13:28:32,python3,981,0,0,0
13:28:32,python3,2847990,0.5,0,0
13:28:32,.*mri.*,2847990,0.5,0,0
13:28:32,.*mri.*,3188322,0,0,0
13:28:32,.*mri.*,3188335,0,0,0
13:28:32,.*mri.*,3188336,387,1.4,0
13:28:34,python3,836,0,0,0
13:28:34,python3,981,0,0,0
13:28:34,python3,2847990,0.5,0,0
13:28:34,.*mri.*,2847990,0.5,0,0
13:28:34,.*mri.*,3188322,0,0,0
13:28:34,.*mri.*,3188335,0,0,0
13:28:34,.*mri.*,3188336,377,1.4,0
13:28:35,python3,836,0,0,0
13:28:35,python3,981,0,0,0
13:28:35,python3,2847990,0.5,0,0
13:28:35,.*mri.*,2847990,0.5,0,0
13:28:35,.*mri.*,3188322,0,0,0
13:28:35,.*mri.*,3188335,0,0,0
13:28:35,.*mri.*,3188336,383,1.4,0
13:28:36,python3,836,0,0,0
13:28:36,python3,981,0,0,0
13:28:36,python3,2847990,0.5,0,0
13:28:36,.*mri.*,2847990,0.5,0,0
13:28:36,.*mri.*,3188322,0,0,0
13:28:36,.*mri.*,3188335,0,0,0
13:28:36,.*mri.*,3188336,390,1.4,0
13:28:38,python3,836,0,0,0
13:28:38,python3,981,0,0,0
13:28:38,python3,2847990,0.5,0,0
13:28:38,.*mri.*,2847990,0.5,0,0
13:28:38,.*mri.*,3188322,0,0,0
13:28:38,.*mri.*,3188335,0,0,0
13:28:38,.*mri.*,3188336,396,1.4,0
13:28:39,python3,836,0,0,0
13:28:39,python3,981,0,0,0
13:28:39,python3,2847990,0.5,0,0
13:28:39,.*mri.*,2847990,0.5,0,0
13:28:39,.*mri.*,3188322,0,0,0
13:28:39,.*mri.*,3188335,0,0,0
13:28:39,.*mri.*,3188336,385,1.4,0
13:28:40,python3,836,0,0,0
13:28:40,python3,981,0,0,0
13:28:40,python3,2847990,0.5,0,0
13:28:40,.*mri.*,2847990,0.5,0,0
13:28:40,.*mri.*,3188322,0,0,0
13:28:40,.*mri.*,3188335,0,0,0
13:28:40,.*mri.*,3188336,390,1.4,0
13:28:42,python3,836,0,0,0
13:28:42,python3,981,0,0,0
13:28:42,python3,2847990,0.5,0,0
13:28:42,.*mri.*,2847990,0.5,0,0
13:28:42,.*mri.*,3188322,0,0,0
13:28:42,.*mri.*,3188335,0,0,0
13:28:42,.*mri.*,3188336,395,1.4,0
13:28:43,python3,836,0,0,0
13:28:43,python3,981,0,0,0
13:28:43,python3,2847990,0.5,0,0
13:28:43,.*mri.*,2847990,0.5,0,0
13:28:43,.*mri.*,3188322,0,0,0
13:28:43,.*mri.*,3188335,0,0,0
13:28:43,.*mri.*,3188336,386,1.4,0
13:28:44,python3,836,0,0,0
13:28:44,python3,981,0,0,0
13:28:44,python3,2847990,0.5,0,0
13:28:44,.*mri.*,2847990,0.5,0,0
13:28:44,.*mri.*,3188322,0,0,0
