# Process Names: python3 MCR Main thread,,,,,
# CPU Cores: 12,,,,,
# Total System RAM (MB): 64026,,,,,
# GPU Model: NVIDIA GeForce RTX 2080 SUPER,,,,,
# Total GPU Memory (MiB): 8192,,,,,
Time,Process_Name,PID,CPU_Usage(%),Memory_Usage(%),GPU_Mem_Used_by_PID(MiB)
14:57:13,python3,1903016,0.6,0,0
14:57:13,python3,1906964,108,4.6,6118
14:57:13,python3,1907167,21,2.2,0
14:57:13,MCR Main thread,1903016,0.6,0,0
14:57:15,python3,961,0,0,0
14:57:15,python3,1127,0,0,0
14:57:15,python3,4411,0,0,0
14:57:15,python3,1903016,0.6,0,0
14:57:15,python3,1907391,70,0.3,0
14:57:15,MCR Main thread,1903016,0.6,0,0
14:57:16,python3,961,0,0,0
14:57:16,python3,1127,0,0,0
14:57:16,python3,4411,0,0,0
14:57:16,python3,1903016,0.6,0,0
14:57:16,python3,1907391,111,2.6,612
14:57:16,MCR Main thread,1903016,0.6,0,0
14:57:18,python3,961,0,0,0
14:57:18,python3,1127,0,0,0
14:57:18,python3,4411,0,0,0
14:57:18,python3,1903016,0.5,0,0
14:57:18,python3,1907391,87.2,4.2,1120
14:57:18,python3,1907624,23,2.2,0
14:57:18,MCR Main thread,1903016,0.5,0,0
14:57:19,python3,961,0,0,0
14:57:19,python3,1127,0,0,0
14:57:19,python3,4411,0,0,0
14:57:19,python3,1903016,0.6,0,0
14:57:19,python3,1907391,97.6,0,5796
14:57:19,MCR Main thread,1903016,0.6,0,0
14:57:21,python3,961,0,0,0
14:57:21,python3,1127,0,0,0
14:57:21,python3,4411,0,0,0
14:57:21,python3,1903016,0.6,0,0
14:57:21,python3,1907861,136,1.6,348
14:57:21,MCR Main thread,1903016,0.6,0,0
14:57:22,python3,961,0,0,0
14:57:22,python3,1127,0,0,0
14:57:22,python3,4411,0,0,0
14:57:22,python3,1903016,0.6,0,0
14:57:22,python3,1907861,136,2.7,722
14:57:22,MCR Main thread,1903016,0.6,0,0
14:57:24,python3,961,0,0,0
14:57:24,python3,1127,0,0,0
14:57:24,python3,4411,0,0,0
14:57:24,python3,1903016,0.6,0,0
14:57:24,python3,1907861,100,4.6,5702
14:57:24,python3,1908096,10.5,2.2,0
14:57:24,MCR Main thread,1903016,0.6,0,0
14:57:25,python3,961,0,0,0
14:57:25,python3,1127,0,0,0
14:57:25,python3,4411,0,0,0
14:57:25,python3,1903016,0.6,0,0
14:57:25,python3,1908260,0,0.2,0
14:57:25,MCR Main thread,1903016,0.6,0,0
14:57:26,python3,961,0,0,0
14:57:26,python3,1127,0,0,0
14:57:26,python3,4411,0,0,0
14:57:26,python3,1903016,0.6,0,0
14:57:26,python3,1908260,89.5,1.8,436
14:57:26,MCR Main thread,1903016,0.6,0,0
14:57:28,python3,961,0,0,0
14:57:28,python3,1127,0,0,0
14:57:28,python3,4411,0,0,0
14:57:28,python3,1903016,0.5,0,0
14:57:28,python3,1908260,101,3.1,950
14:57:28,python3,1908500,0,2.2,0
14:57:28,MCR Main thread,1903016,0.6,0,0
14:57:30,python3,961,0,0,0
14:57:30,python3,1127,0,0,0
14:57:30,python3,4411,0,0,0
14:57:30,python3,1903016,0.6,0,0
14:57:30,python3,1908260,91,4.6,6118
14:57:30,MCR Main thread,1903016,0.6,0,0
14:57:31,python3,961,0,0,0
14:57:31,python3,1127,0,0,0
14:57:31,python3,4411,0,0,0
14:57:31,python3,1903016,0.6,0,0
14:57:31,python3,1908752,97,0.9,210
14:57:31,MCR Main thread,1903016,0.6,0,0
14:57:33,python3,961,0,0,0
14:57:33,python3,1127,0,0,0
14:57:33,python3,4411,0,0,0
14:57:33,python3,1903016,0.6,0,0
14:57:33,python3,1908752,82,2.6,722
14:57:33,MCR Main thread,1903016,0.6,0,0
14:57:34,python3,961,0,0,0
14:57:34,python3,1127,0,0,0
14:57:34,python3,4411,0,0,0
14:57:34,python3,1903016,0.6,0,0
14:57:34,python3,1908752,93.5,4.6,5702
14:57:34,python3,1908985,22,2.2,0
14:57:34,MCR Main thread,1903016,0.6,0,0
14:57:36,python3,961,0,0,0
14:57:36,python3,1127,0,0,0
14:57:36,python3,4411,0,0,0
14:57:36,python3,1903016,0.6,0,0
14:57:36,MCR Main thread,1903016,0.6,0,0
14:57:37,python3,961,0,0,0
14:57:37,python3,1127,0,0,0
14:57:37,python3,4411,0,0,0
14:57:37,python3,1903016,0.6,0,0
14:57:37,python3,1909140,163,1.7,378
14:57:37,MCR Main thread,1903016,0.6,0,0
14:57:38,python3,961,0,0,0
14:57:38,python3,1127,0,0,0
14:57:38,python3,4411,0,0,0
14:57:38,python3,1903016,0.6,0,0
14:57:38,python3,1909140,95.6,2.7,882
14:57:38,python3,1909365,31,2.2,0
14:57:38,MCR Main thread,1903016,0.6,0,0
14:57:40,python3,961,0,0,0
14:57:40,python3,1127,0,0,0
14:57:40,python3,4411,0,0,0
14:57:40,python3,1903016,0.6,0,0
14:57:40,python3,1909140,108,4.6,6118
14:57:40,python3,1909365,15.5,2.2,0
14:57:40,MCR Main thread,1903016,0.6,0,0
14:57:42,python3,961,0,0,0
14:57:42,python3,1127,0,0,0
14:57:42,python3,4411,0,0,0
14:57:42,python3,1903016,0.6,0,0
14:57:42,python3,1909629,64,0.3,0
14:57:42,MCR Main thread,1903016,0.6,0,0
14:57:43,python3,961,0,0,0
14:57:43,python3,1127,0,0,0
14:57:43,python3,4411,0,0,0
14:57:43,python3,1903016,0.6,0,0
14:57:43,python3,1909629,103,2.3,528
14:57:43,MCR Main thread,1903016,0.6,0,0
14:57:44,python3,961,0,0,0
14:57:44,python3,1127,0,0,0
14:57:44,python3,4411,0,0,0
14:57:44,python3,1903016,0.6,0,0
14:57:44,python3,1909629,82.2,3.8,1018
14:57:44,python3,1909862,23,2.2,0
14:57:44,MCR Main thread,1903016,0.6,0,0
14:57:46,python3,961,0,0,0
14:57:46,python3,1127,0,0,0
14:57:46,python3,4411,0,0,0
14:57:46,python3,1903016,0.6,0,0
14:57:46,python3,1909629,94.8,4.7,5892
14:57:46,MCR Main thread,1903016,0.6,0,0
14:57:47,python3,961,0,0,0
14:57:47,python3,1127,0,0,0
14:57:47,python3,4411,0,0,0
14:57:47,python3,1903016,0.6,0,0
14:57:47,python3,1910118,58.5,1.1,234
14:57:47,MCR Main thread,1903016,0.6,0,0
14:57:49,python3,961,0,0,0
14:57:49,python3,1127,0,0,0
14:57:49,python3,4411,0,0,0
14:57:49,python3,1903016,0.6,0,0
14:57:49,python3,1910118,86,2.6,722
14:57:49,MCR Main thread,1903016,0.6,0,0
14:57:50,python3,961,0,0,0
14:57:50,python3,1127,0,0,0
14:57:50,python3,4411,0,0,0
14:57:50,python3,1903016,0.6,0,0
14:57:50,python3,1910118,77.6,4.6,5702
14:57:50,python3,1910351,12,2.2,0
14:57:50,MCR Main thread,1903016,0.6,0,0
14:57:52,python3,961,0,0,0
14:57:52,python3,1127,0,0,0
14:57:52,python3,4411,0,0,0
14:57:52,python3,1903016,0.6,0,0
14:57:52,python3,1910506,0,0.1,0
14:57:52,MCR Main thread,1903016,0.6,0,0
14:57:53,python3,961,0,0,0
14:57:53,python3,1127,0,0,0
14:57:53,python3,4411,0,0,0
14:57:53,python3,1903016,0.6,0,0
14:57:53,python3,1910506,84,2.1,482
14:57:53,MCR Main thread,1903016,0.6,0,0
14:57:55,python3,961,0,0,0
14:57:55,python3,1127,0,0,0
14:57:55,python3,4411,0,0,0
14:57:55,python3,1903016,0.6,0,0
14:57:55,python3,1910506,98,2.9,908
14:57:55,python3,1910735,0,2.2,0
14:57:55,MCR Main thread,1903016,0.6,0,0
14:57:56,python3,961,0,0,0
14:57:56,python3,1127,0,0,0
14:57:56,python3,4411,0,0,0
14:57:56,python3,1903016,0.6,0,0
14:57:56,python3,1910506,88.4,4.6,6118
14:57:56,python3,1910735,11.5,2.2,0
14:57:56,MCR Main thread,1903016,0.6,0,0
14:57:58,python3,961,0,0,0
14:57:58,python3,1127,0,0,0
14:57:58,python3,4411,0,0,0
14:57:58,python3,1903016,0.6,0,0
14:57:58,python3,1911004,85,0.6,152
14:57:58,MCR Main thread,1903016,0.6,0,0
14:57:59,python3,961,0,0,0
14:57:59,python3,1127,0,0,0
14:57:59,python3,4411,0,0,0
14:57:59,python3,1903016,0.6,0,0
14:57:59,python3,1911004,113,2.5,588
14:57:59,MCR Main thread,1903016,0.6,0,0
14:58:01,python3,961,0,0,0
14:58:01,python3,1127,0,0,0
14:58:01,python3,4411,0,0,0
14:58:01,python3,1903016,0.6,0,0
14:58:01,python3,1911004,87.7,4.1,1080
14:58:01,python3,1911239,26,2.2,0
14:58:01,MCR Main thread,1903016,0.6,0,0
14:58:02,python3,961,0,0,0
14:58:02,python3,1127,0,0,0
14:58:02,python3,4411,0,0,0
14:58:02,python3,1903016,0.6,0,0
14:58:02,python3,1911004,98.2,4.7,5796
14:58:02,MCR Main thread,1903016,0.6,0,0
14:58:04,python3,961,0,0,0
14:58:04,python3,1127,0,0,0
14:58:04,python3,4411,0,0,0
14:58:04,python3,1903016,0.6,0,0
14:58:04,python3,1911491,122,1.2,294
14:58:04,MCR Main thread,1903016,0.6,0,0
14:58:05,python3,961,0,0,0
14:58:05,python3,1127,0,0,0
14:58:05,python3,4411,0,0,0
14:58:05,python3,1903016,0.6,0,0
14:58:05,python3,1911491,134,2.7,722
14:58:05,MCR Main thread,1903016,0.6,0,0
14:58:07,python3,961,0,0,0
14:58:07,python3,1127,0,0,0
14:58:07,python3,4411,0,0,0
14:58:07,python3,1903016,0.6,0,0
14:58:07,python3,1911491,100,4.6,5702
14:58:07,python3,1911711,26,2.2,0
14:58:07,MCR Main thread,1903016,0.6,0,0
14:58:08,python3,961,0,0,0
14:58:08,python3,1127,0,0,0
14:58:08,python3,4411,0,0,0
